180125123021   0.000000   	298.020000   	298.240000   
180125123022   1.000000   	298.030000   	298.240000   
180125123023   2.000000   	298.030000   	298.240000   
180125123024   3.000000   	298.050000   	298.240000   
180125123025   4.000000   	298.030000   	298.240000   
180125123026   5.000000   	298.060000   	298.240000   
180125123027   6.000000   	298.070000   	298.240000   
180125123028   7.000000   	298.050000   	298.240000   
180125123029   8.000000   	298.040000   	298.240000   
180125123030   9.000000   	298.030000   	298.240000   
180125123031   10.000000   	298.030000   	298.240000   
180125123032   11.000000   	298.020000   	298.240000   
180125123033   12.000000   	298.020000   	298.240000   
180125123034   13.000000   	298.020000   	298.240000   
180125123035   14.000000   	298.010000   	298.240000   
180125123036   15.000000   	298.010000   	298.240000   
180125123037   16.000000   	298.010000   	298.240000   
180125123038   17.000000   	298.030000   	298.240000   
180125123039   18.000000   	298.030000   	298.240000   
180125123040   19.000000   	298.060000   	298.240000   
180125123041   20.000000   	298.040000   	298.240000   
180125123042   21.000000   	298.030000   	298.230000   
180125123043   22.000000   	298.040000   	298.230000   
180125123044   23.000000   	298.070000   	298.230000   
180125123045   24.000000   	298.050000   	298.230000   
180125123046   25.000000   	298.060000   	298.240000   
180125123047   26.000000   	298.070000   	298.240000   
180125123048   27.000000   	298.060000   	298.240000   
180125123049   28.000000   	298.060000   	298.240000   
180125123050   29.000000   	298.040000   	298.240000   
180125123051   30.000000   	298.080000   	298.240000   
180125123052   31.000000   	298.070000   	298.240000   
180125123053   32.000000   	298.060000   	298.240000   
180125123054   33.000000   	298.080000   	298.240000   
180125123055   34.000000   	298.060000   	298.240000   
180125123056   35.000000   	298.060000   	298.240000   
180125123057   36.000000   	298.030000   	298.240000   
180125123058   37.000000   	298.040000   	298.230000   
180125123059   38.000000   	298.030000   	298.230000   
180125123100   39.000000   	298.030000   	298.230000   
180125123101   40.000000   	298.040000   	298.230000   
180125123102   41.000000   	298.040000   	298.230000   
180125123103   42.000000   	298.030000   	298.230000   
180125123104   43.000000   	298.030000   	298.230000   
180125123105   44.000000   	298.030000   	298.220000   
180125123106   45.000000   	298.030000   	298.230000   
180125123107   46.000000   	298.040000   	298.230000   
180125123108   47.000000   	298.040000   	298.230000   
180125123109   48.000000   	298.040000   	298.230000   
180125123110   49.000000   	298.080000   	298.230000   
180125123111   50.000000   	298.060000   	298.230000   
180125123112   51.000000   	298.110000   	298.230000   
180125123113   52.000000   	298.130000   	298.230000   
180125123114   53.000000   	298.130000   	298.230000   
180125123115   54.000000   	298.130000   	298.230000   
180125123116   55.000000   	298.090000   	298.230000   
